# BUSCO version is: 5.4.5 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
455at4891	Complete	tig00000005	375948	380297	-	1042.8	1058	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	tig00000012	352522	357489	+	1567.6	1022	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	tig00000010	100017	104495	-	640.0	908	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	tig00000023	471373	477867	-	842.8	1015	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Duplicated	tig00000001	1121911	1125573	+	1193.5	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
510at4891	Duplicated	tig00000003	6147	9602	+	1098.5	874	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	tig00000031	521121	526706	-	1487.6	1392	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	tig00000023	500411	504814	+	1583.5	987	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	tig00000014	224405	231880	+	1806.5	1723	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Complete	tig00000005	484736	488809	+	1774.7	1026	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	tig00000014	76867	81090	+	846.5	863	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	tig00000023	369232	373383	-	731.4	828	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	tig00000012	852198	856862	+	1063.5	1254	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	tig00000010	241973	246448	-	1120.5	857	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	tig00000001	1044095	1048165	+	899.9	984	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	tig00000007	725406	728843	-	1921.2	972	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	tig00000001	778761	784133	-	1767.2	1265	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Duplicated	tig00000039	98503	102483	-	1692.0	930	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
631at4891	Duplicated	tig00000040	2704	5951	+	1443.8	796	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	tig00000018	311913	317000	+	864.9	894	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	tig00000061	705634	711597	+	611.1	983	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	tig00000001	195246	198842	-	1622.8	980	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	tig00000023	91745	95371	+	1623.4	957	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Complete	tig00000012	205364	210529	+	1419.1	1263	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	tig00000018	681815	686542	-	1035.4	878	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	tig00000037	89206	93015	+	983.5	861	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	tig00000061	113696	117046	+	1669.5	890	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	tig00000005	413254	418140	+	261.3	337	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	tig00000038	209486	213538	-	1187.4	918	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	tig00000007	498415	503355	-	964.5	967	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	tig00000001	277539	280829	+	1468.5	857	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Complete	tig00000078	135492	138794	-	1351.4	740	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	tig00000014	82393	85608	-	1668.9	922	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	tig00000007	935439	938687	-	1203.8	804	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	tig00000078	183540	187535	+	1332.7	1007	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	tig00000083	320935	323973	-	1630.7	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Complete	tig00000010	131153	134740	+	1591.3	850	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Duplicated	tig00000018	607428	610559	+	1731.9	911	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
960at4891	Duplicated	tig00000078	436202	439333	-	1712.3	912	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	tig00000007	941625	944498	-	1434.7	811	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	tig00000012	295869	298925	-	1253.7	757	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	tig00000010	407860	413460	-	2091.6	1394	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	tig00000010	554041	557547	+	1267.8	904	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	tig00000018	458814	463055	+	1628.6	954	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	tig00000018	431223	435623	+	1327.1	927	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	tig00000007	555731	559414	-	675.7	714	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	tig00000001	1020471	1023650	+	1209.0	825	https://www.orthodb.org/v10?query=1088at4891	P-loop containing nucleoside triphosphate hydrolase protein
1099at4891	Complete	tig00000005	892733	895981	-	1063.0	747	https://www.orthodb.org/v10?query=1099at4891	Alpha-mannosidase
1120at4891	Complete	tig00000010	149009	152557	-	1202.5	774	https://www.orthodb.org/v10?query=1120at4891	Ribosome biogenesis protein BMS1
1180at4891	Complete	tig00000010	539133	542816	+	1250.7	963	https://www.orthodb.org/v10?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	tig00000018	376473	379631	+	1651.3	869	https://www.orthodb.org/v10?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	tig00000001	1005816	1010777	-	1515.8	1203	https://www.orthodb.org/v10?query=1220at4891	Serine/threonine-protein kinase
1221at4891	Complete	tig00000005	1010605	1013709	-	1056.6	754	https://www.orthodb.org/v10?query=1221at4891	FACT complex subunit SPT16
1226at4891	Complete	tig00000023	380110	383448	-	1264.4	943	https://www.orthodb.org/v10?query=1226at4891	binding
1228at4891	Complete	tig00000037	149594	156058	-	878.4	1197	https://www.orthodb.org/v10?query=1228at4891	WD40-repeat-containing domain
1240at4891	Complete	tig00000001	1326317	1330516	-	427.3	640	https://www.orthodb.org/v10?query=1240at4891	Mediator of RNA polymerase II transcription subunit 13
1243at4891	Complete	tig00000078	389502	393032	+	1139.8	882	https://www.orthodb.org/v10?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	tig00000001	71341	74553	-	1128.5	791	https://www.orthodb.org/v10?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Complete	tig00000001	715411	720504	-	770.4	1015	https://www.orthodb.org/v10?query=1283at4891	Protein dopey
1299at4891	Complete	tig00000005	162060	165311	-	1568.5	941	https://www.orthodb.org/v10?query=1299at4891	Exportin-1
1312at4891	Complete	tig00000061	455696	459385	+	1070.8	1091	https://www.orthodb.org/v10?query=1312at4891	Structural maintenance of chromosomes protein
1341at4891	Complete	tig00000031	301880	304912	+	754.3	632	https://www.orthodb.org/v10?query=1341at4891	KEN domain
1344at4891	Complete	tig00000005	771935	775267	+	483.2	520	https://www.orthodb.org/v10?query=1344at4891	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1372at4891	Complete	tig00000005	434647	438345	-	1124.3	887	https://www.orthodb.org/v10?query=1372at4891	Nrap protein
1378at4891	Complete	tig00000007	317876	322117	+	1329.9	819	https://www.orthodb.org/v10?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	tig00000010	905517	910115	+	1830.4	1150	https://www.orthodb.org/v10?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	tig00000012	58282	61944	-	816.2	605	https://www.orthodb.org/v10?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	tig00000078	209580	213617	-	844.9	664	https://www.orthodb.org/v10?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	tig00000038	54476	57562	-	930.7	631	https://www.orthodb.org/v10?query=1426at4891	Ferredoxin reductase-type FAD-binding domain
1452at4891	Complete	tig00000012	761318	766237	+	1289.8	901	https://www.orthodb.org/v10?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	tig00000022	273965	276838	-	526.8	581	https://www.orthodb.org/v10?query=1483at4891	Ras GTPase-activating domain
1491at4891	Complete	tig00000005	425212	428403	-	1661.0	866	https://www.orthodb.org/v10?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	tig00000001	107892	111701	+	737.0	684	https://www.orthodb.org/v10?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	tig00000061	384746	389794	+	930.8	1091	https://www.orthodb.org/v10?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	tig00000007	127646	130753	-	928.1	768	https://www.orthodb.org/v10?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	tig00000005	616975	620400	-	1163.7	766	https://www.orthodb.org/v10?query=1523at4891	Calcium-transporting ATPase
1529at4891	Complete	tig00000083	187583	191032	-	1457.7	823	https://www.orthodb.org/v10?query=1529at4891	P-type ATPase
1547at4891	Complete	tig00000014	681712	685065	+	1104.6	735	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1597at4891	Complete	tig00000037	206890	210000	+	1141.7	707	https://www.orthodb.org/v10?query=1597at4891	putative ATP-dependent permease
1609at4891	Complete	tig00000018	72849	77753	-	793.9	1020	https://www.orthodb.org/v10?query=1609at4891	Mon2, C-terminal
1625at4891	Duplicated	tig00000001	1116681	1121216	+	1235.4	819	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1625at4891	Duplicated	tig00000003	1803	5244	+	1229.6	807	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	tig00000010	256370	259636	+	1389.2	830	https://www.orthodb.org/v10?query=1627at4891	leucyl-tRNA synthetase
1633at4891	Complete	tig00000001	581209	583866	+	846.4	564	https://www.orthodb.org/v10?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	tig00000022	600271	603717	+	271.3	563	https://www.orthodb.org/v10?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Fragmented	tig00000005	853848	855902	-	683.4	492	https://www.orthodb.org/v10?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	tig00000078	249932	252514	+	1003.6	715	https://www.orthodb.org/v10?query=1655at4891	binding
1667at4891	Complete	tig00000001	1306079	1309045	-	996.8	748	https://www.orthodb.org/v10?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Complete	tig00000078	157373	161233	+	1339.7	773	https://www.orthodb.org/v10?query=1679at4891	ATP-dependent RNA helicase Ski2, C-terminal
1699at4891	Complete	tig00000005	915929	918778	+	1197.8	683	https://www.orthodb.org/v10?query=1699at4891	Calcium-transporting ATPase
1708at4891	Duplicated	tig00000034	62827	65877	-	901.5	719	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1708at4891	Duplicated	tig00000036	9411	12350	+	834.8	678	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1760at4891	Complete	tig00000078	382462	384786	-	1010.7	597	https://www.orthodb.org/v10?query=1760at4891	DNA helicase
1774at4891	Duplicated	tig00000005	985486	988524	+	1207.1	669	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1774at4891	Duplicated	tig00000006	6154	9192	-	1204.2	669	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1803at4891	Complete	tig00000005	1066199	1069066	-	1062.7	756	https://www.orthodb.org/v10?query=1803at4891	Importin alpha re-exporter
1807at4891	Complete	tig00000038	118625	121102	-	618.2	600	https://www.orthodb.org/v10?query=1807at4891	Nuclear pore protein
1841at4891	Complete	tig00000034	255268	258267	-	339.4	543	https://www.orthodb.org/v10?query=1841at4891	Mediator of RNA polymerase II transcription subunit 14
1860at4891	Complete	tig00000083	363624	366152	+	1288.4	625	https://www.orthodb.org/v10?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	tig00000061	63349	67674	+	1567.6	925	https://www.orthodb.org/v10?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	tig00000012	522668	526477	+	674.9	790	https://www.orthodb.org/v10?query=1875at4891	Armadillo-type fold
1906at4891	Complete	tig00000005	54787	57936	+	747.5	652	https://www.orthodb.org/v10?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	tig00000023	522101	524344	+	1250.0	645	https://www.orthodb.org/v10?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	tig00000014	302710	305583	+	1034.2	584	https://www.orthodb.org/v10?query=1936at4891	Chitin synthase
1947at4891	Complete	tig00000022	46636	49671	+	1466.5	903	https://www.orthodb.org/v10?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	tig00000012	416002	418548	-	435.6	442	https://www.orthodb.org/v10?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	tig00000061	506863	511290	-	602.2	430	https://www.orthodb.org/v10?query=1979at4891	Protein kinase domain
2008at4891	Complete	tig00000039	150443	154000	-	454.7	670	https://www.orthodb.org/v10?query=2008at4891	RNA polymerase III type 2 promoter sequence-specific DNA binding
2010at4891	Complete	tig00000014	176271	178871	-	1221.6	652	https://www.orthodb.org/v10?query=2010at4891	DNA helicase
2020at4891	Complete	tig00000061	412805	416023	-	1544.1	866	https://www.orthodb.org/v10?query=2020at4891	ATP-dependent RNA helicase DOB1
2040at4891	Complete	tig00000001	1264816	1268682	-	531.5	727	https://www.orthodb.org/v10?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	tig00000012	44722	47988	+	1152.9	879	https://www.orthodb.org/v10?query=2048at4891	Importin subunit beta-3
2052at4891	Complete	tig00000061	255287	259165	+	1141.1	939	https://www.orthodb.org/v10?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	tig00000061	694240	696606	+	1181.3	633	https://www.orthodb.org/v10?query=2053at4891	Aconitate hydratase, mitochondrial
2138at4891	Complete	tig00000014	214650	218381	-	585.2	497	https://www.orthodb.org/v10?query=2138at4891	Sla1
2161at4891	Complete	tig00000012	88464	91331	-	1042.9	694	https://www.orthodb.org/v10?query=2161at4891	Splicing factor 3B subunit 1
2166at4891	Complete	tig00000023	341293	343587	-	1282.3	678	https://www.orthodb.org/v10?query=2166at4891	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2167at4891	Duplicated	tig00000012	261704	264580	+	1359.4	745	https://www.orthodb.org/v10?query=2167at4891	ATP-dependent 6-phosphofructokinase
2167at4891	Duplicated	tig00000013	12460	15336	-	1359.4	745	https://www.orthodb.org/v10?query=2167at4891	ATP-dependent 6-phosphofructokinase
2171at4891	Complete	tig00000001	23569	26547	+	721.8	637	https://www.orthodb.org/v10?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	tig00000001	918641	921541	-	1183.0	750	https://www.orthodb.org/v10?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	tig00000034	74295	77006	+	1335.6	760	https://www.orthodb.org/v10?query=2193at4891	P-loop containing nucleoside triphosphate hydrolase protein
2203at4891	Complete	tig00000007	644693	647107	+	1071.9	635	https://www.orthodb.org/v10?query=2203at4891	Glutaminyl-tRNA synthetase
2212at4891	Complete	tig00000014	389429	391699	-	932.0	566	https://www.orthodb.org/v10?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	tig00000078	338797	341121	+	1362.6	664	https://www.orthodb.org/v10?query=2307at4891	Aconitate hydratase, mitochondrial
2368at4891	Complete	tig00000078	139174	141975	+	999.3	756	https://www.orthodb.org/v10?query=2368at4891	WD40 repeat
2373at4891	Complete	tig00000012	660018	662129	+	673.4	431	https://www.orthodb.org/v10?query=2373at4891	Serine/threonine-protein kinase
2385at4891	Complete	tig00000014	179222	182206	-	1043.0	739	https://www.orthodb.org/v10?query=2385at4891	Lon protease homolog, mitochondrial
2413at4891	Complete	tig00000014	374026	376782	+	531.6	406	https://www.orthodb.org/v10?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	tig00000061	685554	688952	-	824.9	716	https://www.orthodb.org/v10?query=2421at4891	Ubiquitin carboxyl-terminal hydrolase 12
2432at4891	Complete	tig00000010	606167	608959	+	1189.1	636	https://www.orthodb.org/v10?query=2432at4891	DNA helicase
2446at4891	Complete	tig00000018	192481	197241	+	646.4	761	https://www.orthodb.org/v10?query=2446at4891	Autophagy-related protein 2
2456at4891	Complete	tig00000039	117787	121119	+	821.3	524	https://www.orthodb.org/v10?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	tig00000039	146733	150338	+	575.8	892	https://www.orthodb.org/v10?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	tig00000018	395921	398803	+	1230.6	779	https://www.orthodb.org/v10?query=2471at4891	Pro-apoptotic serine protease NMA111
2483at4891	Complete	tig00000037	281031	283376	+	1010.7	660	https://www.orthodb.org/v10?query=2483at4891	Histidine biosynthesis trifunctional protein
2485at4891	Complete	tig00000005	909994	912687	+	1052.5	588	https://www.orthodb.org/v10?query=2485at4891	Putative SWI/SNF family member, DNA-dependent ATPase
2499at4891	Complete	tig00000018	46481	49192	-	1038.3	708	https://www.orthodb.org/v10?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	tig00000014	261797	264544	-	713.4	630	https://www.orthodb.org/v10?query=2515at4891	binding
2531at4891	Complete	tig00000012	566644	568977	+	925.2	504	https://www.orthodb.org/v10?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	tig00000005	66352	70482	-	964.5	612	https://www.orthodb.org/v10?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	tig00000012	41517	43952	+	571.5	560	https://www.orthodb.org/v10?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	tig00000018	208090	211005	+	377.5	553	https://www.orthodb.org/v10?query=2543at4891	Mediator of RNA polymerase II transcription subunit 16
2548at4891	Complete	tig00000037	130322	134518	+	812.8	756	https://www.orthodb.org/v10?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	tig00000031	82516	87177	+	1505.5	1008	https://www.orthodb.org/v10?query=2549at4891	WD40 repeat
2564at4891	Complete	tig00000010	516074	519304	+	797.6	681	https://www.orthodb.org/v10?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	tig00000014	392080	396048	-	750.1	656	https://www.orthodb.org/v10?query=2565at4891	Bromodomain
2568at4891	Complete	tig00000001	690073	693498	+	894.7	738	https://www.orthodb.org/v10?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	tig00000005	124118	127060	+	1341.4	736	https://www.orthodb.org/v10?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	tig00000012	452107	455763	-	1548.3	859	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2618at4891	Duplicated	tig00000022	203779	207594	-	1519.8	854	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2630at4891	Complete	tig00000014	425910	430265	+	899.8	897	https://www.orthodb.org/v10?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	tig00000014	456207	458576	+	1011.7	537	https://www.orthodb.org/v10?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	tig00000078	180368	182761	-	650.9	520	https://www.orthodb.org/v10?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	tig00000078	376846	379182	+	886.9	536	https://www.orthodb.org/v10?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Complete	tig00000083	237436	239619	-	1160.5	589	https://www.orthodb.org/v10?query=2724at4891	Threonyl-tRNA synthetase
2754at4891	Complete	tig00000007	1010759	1012900	-	654.4	543	https://www.orthodb.org/v10?query=2754at4891	Eukaryotic translation initiation factor 3 subunit B
2784at4891	Complete	tig00000005	657862	659979	+	1134.1	586	https://www.orthodb.org/v10?query=2784at4891	Tryptophan synthase
2793at4891	Complete	tig00000005	660356	662749	+	753.1	591	https://www.orthodb.org/v10?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	tig00000034	251508	253739	-	1127.2	599	https://www.orthodb.org/v10?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Complete	tig00000078	494342	496789	+	822.1	602	https://www.orthodb.org/v10?query=2851at4891	WD40-repeat-containing domain
2862at4891	Complete	tig00000001	236826	239330	-	1409.7	695	https://www.orthodb.org/v10?query=2862at4891	ATPase, AAA-type, conserved site
2893at4891	Complete	tig00000007	856626	860969	+	1212.6	846	https://www.orthodb.org/v10?query=2893at4891	Cation-transporting ATPase
2898at4891	Complete	tig00000023	296498	299080	+	1083.2	636	https://www.orthodb.org/v10?query=2898at4891	N-acetyl-gamma-glutamyl-phosphate reductase, active site
2905at4891	Complete	tig00000018	124086	127505	+	389.3	496	https://www.orthodb.org/v10?query=2905at4891	Topoisomerase 1-associated factor 1
2915at4891	Complete	tig00000007	945207	949154	+	683.7	899	https://www.orthodb.org/v10?query=2915at4891	UDP-glucose:Glycoprotein Glucosyltransferase
2926at4891	Complete	tig00000061	524798	527146	-	770.2	607	https://www.orthodb.org/v10?query=2926at4891	Ribosome-releasing factor 2, mitochondrial
2971at4891	Complete	tig00000001	952554	954986	-	1111.5	620	https://www.orthodb.org/v10?query=2971at4891	ClpA/B, conserved site 1
2976at4891	Complete	tig00000005	651840	653957	-	1091.3	585	https://www.orthodb.org/v10?query=2976at4891	Glycosyltransferase family 66 protein
2990at4891	Complete	tig00000005	840565	844680	+	436.3	603	https://www.orthodb.org/v10?query=2990at4891	Zinc finger, PHD-type
2994at4891	Complete	tig00000001	1097875	1100658	+	755.0	658	https://www.orthodb.org/v10?query=2994at4891	Condensin complex subunit 3
3032at4891	Complete	tig00000031	321890	324070	-	975.5	586	https://www.orthodb.org/v10?query=3032at4891	Terpene cyclase/mutase family member
3044at4891	Complete	tig00000005	222783	225791	+	363.4	408	https://www.orthodb.org/v10?query=3044at4891	Mad3/Bub1 homology region 1
