ID or #		Start	End	Type	Contig
rna-NM_001178193.1		52801	54789	complete	tig00000039:55654-57642
exon-NM_001178193.1-1		52801	54789	complete	tig00000039:55654-57642
cds-NP_009351.1		52801	54789	complete	tig00000039:55654-57642
gene-YAL047C		54989	56857	complete	tig00000039:57842-59710
rna-NM_001178192.2		54989	56857	complete	tig00000039:57842-59710
exon-NM_001178192.2-1		54989	56857	complete	tig00000039:57842-59710
cds-NP_009352.2		54989	56857	complete	tig00000039:57842-59710
gene-YAL046C		57029	57385	complete	tig00000039:59882-60238
rna-NM_001178191.1		57029	57385	complete	tig00000039:59882-60238
exon-NM_001178191.1-1		57029	57385	complete	tig00000039:59882-60238
cds-NP_009353.1		57029	57385	complete	tig00000039:59882-60238
gene-YAL044W-A		57518	57850	complete	tig00000039:60371-60703
rna-NM_001184453.1		57518	57850	complete	tig00000039:60371-60703
exon-NM_001184453.1-1		57518	57850	complete	tig00000039:60371-60703
cds-NP_075206.1		57518	57850	complete	tig00000039:60371-60703
gene-YAL044C		57950	58462	complete	tig00000039:60803-61315
rna-NM_001178189.1		57950	58462	complete	tig00000039:60803-61315
exon-NM_001178189.1-1		57950	58462	complete	tig00000039:60803-61315
cds-NP_009355.3		57950	58462	complete	tig00000039:60803-61315
gene-YAL043C		58695	61052	complete	tig00000039:61548-63905
rna-NM_001178188.1		58695	61052	complete	tig00000039:61548-63905
exon-NM_001178188.1-1		58695	61052	complete	tig00000039:61548-63905
cds-NP_009356.1		58695	61052	complete	tig00000039:61548-63905
gene-YAL042W		61316	62563	complete	tig00000039:64169-65416
rna-NM_001178187.1		61316	62563	complete	tig00000039:64169-65416
exon-NM_001178187.1-1		61316	62563	complete	tig00000039:64169-65416
cds-NP_009358.1		61316	62563	complete	tig00000039:64169-65416
gene-YAL041W		62840	65404	complete	tig00000039:65693-68257
rna-NM_001178186.1		62840	65404	complete	tig00000039:65693-68257
exon-NM_001178186.1-1		62840	65404	complete	tig00000039:65693-68257
cds-NP_009359.1		62840	65404	complete	tig00000039:65693-68257
gene-YAL040C		65778	67520	complete	tig00000039:68631-70373
rna-NM_001178185.1		65778	67520	complete	tig00000039:68631-70373
exon-NM_001178185.1-1		65778	67520	complete	tig00000039:68631-70373
cds-NP_009360.1		65778	67520	complete	tig00000039:68631-70373
id-NC_001133.9:67825..67836		67825	67836	complete	tig00000039:70678-70689
gene-YAL039C		68716	69525	complete	tig00000039:71569-72378
rna-NM_001178184.1		68716	69525	complete	tig00000039:71569-72378
exon-NM_001178184.1-1		68716	69525	complete	tig00000039:71569-72378
cds-NP_009361.1		68716	69525	complete	tig00000039:71569-72378
id-NC_001133.9:70300..70469		70300	70469	complete	tig00000039:73153-73322
gene-YAL038W		71786	73288	complete	tig00000039:74639-76141
rna-NM_001178183.1		71786	73288	complete	tig00000039:74639-76141
exon-NM_001178183.1-1		71786	73288	complete	tig00000039:74639-76141
cds-NP_009362.1		71786	73288	complete	tig00000039:74639-76141
gene-YAL037C-A		73426	73518	complete	tig00000039:76279-76371
rna-NM_001184629.1		73426	73518	complete	tig00000039:76279-76371
exon-NM_001184629.1-1		73426	73518	complete	tig00000039:76279-76371
cds-NP_878040.1		73426	73518	complete	tig00000039:76279-76371
gene-YAL037W		74020	74823	complete	tig00000039:76873-77676
rna-NM_001178182.1		74020	74823	complete	tig00000039:76873-77676
exon-NM_001178182.1-1		74020	74823	complete	tig00000039:76873-77676
cds-NP_009363.1		74020	74823	complete	tig00000039:76873-77676
gene-YAL036C		75043	76152	complete	tig00000039:77896-79005
rna-NM_001178181.1		75043	76152	complete	tig00000039:77896-79005
exon-NM_001178181.1-1		75043	76152	complete	tig00000039:77896-79005
cds-NP_009364.1		75043	76152	complete	tig00000039:77896-79005
gene-YAL035W		76427	79435	complete	tig00000039:79280-82288
rna-NM_001178180.1		76427	79435	complete	tig00000039:79280-82288
exon-NM_001178180.1-1		76427	79435	complete	tig00000039:79280-82288
cds-NP_009365.1		76427	79435	complete	tig00000039:79280-82288
gene-YAL034W-A		79718	80587	complete	tig00000039:82571-83440
rna-NM_001178179.1		79718	80587	complete	tig00000039:82571-83440
exon-NM_001178179.1-1		79718	80587	complete	tig00000039:82571-83440
cds-NP_009367.1		79718	80587	complete	tig00000039:82571-83440
gene-YAL034C		80710	81951	complete	tig00000039:83563-84804
rna-NM_001180035.1		80710	81951	complete	tig00000039:83563-84804
exon-NM_001180035.1-1		80710	81951	complete	tig00000039:83563-84804
cds-NP_009368.2		80710	81951	complete	tig00000039:83563-84804
gene-YAL033W		82706	83227	complete	tig00000039:85559-86080
rna-NM_001178178.1		82706	83227	complete	tig00000039:85559-86080
exon-NM_001178178.1-1		82706	83227	complete	tig00000039:85559-86080
cds-NP_009369.1		82706	83227	complete	tig00000039:85559-86080
gene-YAL032C		83335	84474	complete	tig00000039:86188-87327
rna-NM_001178177.1		83335	84474	complete	tig00000039:86188-87327
exon-NM_001178177.1-1		83335	84474	complete	tig00000039:86188-87327
cds-NP_009370.1		83335	84474	complete	tig00000039:86188-87327
gene-YAL031C		84749	87031	complete	tig00000039:87602-89884
rna-NM_001178176.1		84749	87031	complete	tig00000039:87602-89884
exon-NM_001178176.1-1		84749	87031	complete	tig00000039:87602-89884
cds-NP_009371.1		84749	87031	complete	tig00000039:87602-89884
gene-YAL030W		87286	87752	complete	tig00000039:90139-90605
rna-NM_001178175.1		87286	87752	complete	tig00000039:90139-90605
exon-NM_001178175.1-1		87286	87387	complete	tig00000039:90139-90240
exon-NM_001178175.1-2		87501	87752	complete	tig00000039:90354-90605
cds-NP_009372.1		87286	87387	complete	tig00000039:90139-90240
cds-NP_009372.1		87501	87752	complete	tig00000039:90354-90605
gene-YAL029C		87855	92270	complete	tig00000039:90708-95123
rna-NM_001178174.1		87855	92270	complete	tig00000039:90708-95123
exon-NM_001178174.1-1		87855	92270	complete	tig00000039:90708-95123
cds-NP_009373.1		87855	92270	complete	tig00000039:90708-95123
gene-YAL028W		92900	94486	complete	tig00000039:95753-97339
rna-NM_001178173.1		92900	94486	complete	tig00000039:95753-97339
exon-NM_001178173.1-1		92900	94486	complete	tig00000039:95753-97339
cds-NP_009374.1		92900	94486	complete	tig00000039:95753-97339
gene-YAL027W		94687	95472	complete	tig00000039:97540-98325
rna-NM_001178172.1		94687	95472	complete	tig00000039:97540-98325
exon-NM_001178172.1-1		94687	95472	complete	tig00000039:97540-98325
cds-NP_009375.1		94687	95472	complete	tig00000039:97540-98325
gene-YAL026C		95630	99697	complete	tig00000039:98483-102550
rna-NM_001178171.2		95630	99697	complete	tig00000039:98483-102550
exon-NM_001178171.2-1		95630	99697	complete	tig00000039:98483-102550
cds-NP_009376.2		95630	99697	complete	tig00000039:98483-102550
gene-YNCA0001W		99305	99868	complete	tig00000039:102158-102721
rna-NR_132149.1		99305	99868	complete	tig00000039:102158-102721
exon-NR_132149.1-1		99305	99868	complete	tig00000039:102158-102721
gene-YAL025C		100225	101145	complete	tig00000039:103078-103998
rna-NM_001178170.2		100225	101145	complete	tig00000039:103078-103998
exon-NM_001178170.2-1		100225	101145	complete	tig00000039:103078-103998
cds-NP_009377.2		100225	101145	complete	tig00000039:103078-103998
gene-YAL024C		101565	105872	complete	tig00000039:104418-108725
rna-NM_001178169.1		101565	105872	complete	tig00000039:104418-108725
exon-NM_001178169.1-1		101565	105872	complete	tig00000039:104418-108725
cds-NP_009378.1		101565	105872	complete	tig00000039:104418-108725
gene-YAL023C		106272	108551	complete	tig00000039:109125-111404
rna-NM_001178168.1		106272	108551	complete	tig00000039:109125-111404
exon-NM_001178168.1-1		106272	108551	complete	tig00000039:109125-111404
cds-NP_009379.2		106272	108551	complete	tig00000039:109125-111404
gene-YAL022C		108877	110430	complete	tig00000039:111730-113283
rna-NM_001178167.1		108877	110430	complete	tig00000039:111730-113283
exon-NM_001178167.1-1		108877	110430	complete	tig00000039:111730-113283
cds-NP_009380.1		108877	110430	complete	tig00000039:111730-113283
gene-YAL021C		110846	113359	complete	tig00000039:113699-116212
rna-NM_001178166.1		110846	113359	complete	tig00000039:113699-116212
exon-NM_001178166.1-1		110846	113359	complete	tig00000039:113699-116212
cds-NP_009381.1		110846	113359	complete	tig00000039:113699-116212
gene-YAL020C		113614	114615	complete	tig00000039:116467-117468
rna-NM_001178165.2		113614	114615	complete	tig00000039:116467-117468
exon-NM_001178165.2-1		113614	114615	complete	tig00000039:116467-117468
cds-NP_009382.2		113614	114615	complete	tig00000039:116467-117468
gene-YAL019W		114919	118314	complete	tig00000039:117772-121167
rna-NM_001178164.1		114919	118314	complete	tig00000039:117772-121167
exon-NM_001178164.1-1		114919	118314	complete	tig00000039:117772-121167
cds-NP_009383.1		114919	118314	complete	tig00000039:117772-121167
gene-YAL018C		118564	119541	complete	tig00000039:121417-122394
rna-NM_001178163.1		118564	119541	complete	tig00000039:121417-122394
exon-NM_001178163.1-1		118564	119541	complete	tig00000039:121417-122394
cds-NP_009384.1		118564	119541	complete	tig00000039:121417-122394
gene-YAL017W		120225	124295	complete	tig00000039:123078-127148
rna-NM_001178162.2		120225	124295	complete	tig00000039:123078-127148
exon-NM_001178162.2-1		120225	124295	complete	tig00000039:123078-127148
cds-NP_009385.2		120225	124295	complete	tig00000039:123078-127148
id-NC_001133.9:124349..124597		124349	124597	complete	tig00000039:127202-127450
gene-YAL016W		124879	126786	complete	tig00000039:127732-129639
rna-NM_001178161.1		124879	126786	complete	tig00000039:127732-129639
exon-NM_001178161.1-1		124879	126786	complete	tig00000039:127732-129639
cds-NP_009386.1		124879	126786	complete	tig00000039:127732-129639
gene-YAL015C		126903	128102	complete	tig00000039:129756-130955
rna-NM_001178160.1		126903	128102	complete	tig00000039:129756-130955
exon-NM_001178160.1-1		126903	128102	complete	tig00000039:129756-130955
cds-NP_009387.1		126903	128102	complete	tig00000039:129756-130955
gene-YAL014C		128252	129019	complete	tig00000039:131105-131872
rna-NM_001178159.1		128252	129019	complete	tig00000039:131105-131872
exon-NM_001178159.1-1		128252	129019	complete	tig00000039:131105-131872
cds-NP_009388.2		128252	129019	complete	tig00000039:131105-131872
gene-YAL013W		129270	130487	complete	tig00000039:132123-133340
rna-NM_001178158.2		129270	130487	complete	tig00000039:132123-133340
exon-NM_001178158.2-1		129270	130487	complete	tig00000039:132123-133340
cds-NP_009389.3		129270	130487	complete	tig00000039:132123-133340
gene-YAL012W		130799	131983	complete	tig00000039:133652-134836
rna-NM_001178157.1		130799	131983	complete	tig00000039:133652-134836
exon-NM_001178157.1-1		130799	131983	complete	tig00000039:133652-134836
cds-NP_009390.1		130799	131983	complete	tig00000039:133652-134836
gene-YAL011W		132199	134076	complete	tig00000039:135052-136929
rna-NM_001178156.1		132199	134076	complete	tig00000039:135052-136929
exon-NM_001178156.1-1		132199	134076	complete	tig00000039:135052-136929
cds-NP_009391.2		132199	134076	complete	tig00000039:135052-136929
gene-YAL010C		134184	135665	complete	tig00000039:137037-138518
rna-NM_001178155.2		134184	135665	complete	tig00000039:137037-138518
exon-NM_001178155.2-1		134184	135665	complete	tig00000039:137037-138518
cds-NP_009392.2		134184	135665	complete	tig00000039:137037-138518
gene-YAL009W		135854	136633	complete	tig00000039:138707-139486
rna-NM_001178154.1		135854	136633	complete	tig00000039:138707-139486
exon-NM_001178154.1-1		135854	136633	complete	tig00000039:138707-139486
cds-NP_009393.1		135854	136633	complete	tig00000039:138707-139486
gene-YAL008W		136914	137510	complete	tig00000039:139767-140363
rna-NM_001178153.1		136914	137510	complete	tig00000039:139767-140363
exon-NM_001178153.1-1		136914	137510	complete	tig00000039:139767-140363
cds-NP_009394.1		136914	137510	complete	tig00000039:139767-140363
gene-YAL007C		137698	138345	complete	tig00000039:140551-141198
rna-NM_001178152.1		137698	138345	complete	tig00000039:140551-141198
exon-NM_001178152.1-1		137698	138345	complete	tig00000039:140551-141198
cds-NP_009395.1		137698	138345	complete	tig00000039:140551-141198
id-NC_001133.9:138831..138992		138831	138992	complete	tig00000039:141684-141845
gene-YNCA0002W		139152	139254	complete	tig00000039:142005-142107
rna-YNCA0002W		139152	139254	complete	tig00000039:142005-142107
exon-YNCA0002W-1		139152	139187	complete	tig00000039:142005-142040
exon-YNCA0002W-2		139219	139254	complete	tig00000039:142072-142107
gene-YAL005C		139503	141431	complete	tig00000039:142356-144284
rna-NM_001178151.1		139503	141431	complete	tig00000039:142356-144284
exon-NM_001178151.1-1		139503	141431	complete	tig00000039:142356-144284
cds-NP_009396.2		139503	141431	complete	tig00000039:142356-144284
gene-YAL003W		142174	143160	complete	tig00000039:145027-146013
rna-NM_001178150.1		142174	143160	complete	tig00000039:145027-146013
exon-NM_001178150.1-1		142174	142253	complete	tig00000039:145027-145106
exon-NM_001178150.1-2		142620	143160	complete	tig00000039:145473-146013
cds-NP_009398.1		142174	142253	complete	tig00000039:145027-145106
cds-NP_009398.1		142620	143160	complete	tig00000039:145473-146013
gene-YNCA0003W		142367	142468	complete	tig00000039:145220-145321
rna-NR_132150.1		142367	142468	complete	tig00000039:145220-145321
exon-NR_132150.1-1		142367	142468	complete	tig00000039:145220-145321
gene-YAL002W		143707	147531	complete	tig00000039:146560-150384
rna-NM_001178149.1		143707	147531	complete	tig00000039:146560-150384
exon-NM_001178149.1-1		143707	147531	complete	tig00000039:146560-150384
cds-NP_009399.2		143707	147531	complete	tig00000039:146560-150384
id-NC_001133.9:147398..147717		147398	147717	complete	tig00000039:150251-150570
gene-YAL001C		147594	151166	complete	tig00000039:150447-154019
rna-NM_001178148.1		147594	151166	complete	tig00000039:150447-154019
exon-NM_001178148.1-1		151097	151166	complete	tig00000039:153950-154019
exon-NM_001178148.1-2		147594	151006	complete	tig00000039:150447-153859
cds-NP_009400.1		151097	151166	complete	tig00000039:153950-154019
cds-NP_009400.1		147594	151006	complete	tig00000039:150447-153859
id-NC_001133.9:151465..151582		151465	151582	complete	tig00000039:154318-154435
id-NC_001133.9:151465..151474		151465	151474	complete	tig00000039:154318-154327
id-NC_001133.9:151475..151557		151475	151557	complete	tig00000039:154328-154410
id-NC_001133.9:151558..151582		151558	151582	complete	tig00000039:154411-154435
gene-YAR002W		152257	153876	complete	tig00000039:155110-156729
rna-NM_001178209.1		152257	153876	complete	tig00000039:155110-156729
exon-NM_001178209.1-1		152257	153876	complete	tig00000039:155110-156729
cds-NP_009401.1		152257	153876	complete	tig00000039:155110-156729
gene-YAR002C-A		154065	154724	complete	tig00000039:156918-157577
rna-NM_001180033.1		154065	154724	complete	tig00000039:156918-157577
exon-NM_001180033.1-1		154065	154724	complete	tig00000039:156918-157577
cds-NP_009402.1		154065	154724	complete	tig00000039:156918-157577
gene-YAR003W		155005	156285	complete	tig00000039:157858-159138
rna-NM_001178210.1		155005	156285	complete	tig00000039:157858-159138
exon-NM_001178210.1-1		155005	156285	complete	tig00000039:157858-159138
cds-NP_009403.1		155005	156285	complete	tig00000039:157858-159138
gene-YAR007C		156754	158619	complete	tig00000039:159607-161472
rna-NM_001178211.1		156754	158619	complete	tig00000039:159607-161472
exon-NM_001178211.1-1		156754	158619	complete	tig00000039:159607-161472
cds-NP_009404.1		156754	158619	complete	tig00000039:159607-161472
gene-YAR008W		158966	159793	complete	tig00000039:161819-162646
rna-NM_001178212.1		158966	159793	complete	tig00000039:161819-162646
exon-NM_001178212.1-1		158966	159793	complete	tig00000039:161819-162646
cds-NP_009405.1		158966	159793	complete	tig00000039:161819-162646
id-NC_001133.9:159907..160127		159907	160127	complete	tig00000039:162760-162980
id-NC_001133.9:160105..160237		160105	160237	complete	tig00000039:162958-163090
gene-YNCA0004W		166267	166339	complete	tig00000039:163172-163244
rna-YNCA0004W		166267	166339	complete	tig00000039:163172-163244
exon-YNCA0004W-1		166267	166339	complete	tig00000039:163172-163244
gene-YAR014C		166742	168871	complete	tig00000039:163647-165776
rna-NM_001178215.2		166742	168871	complete	tig00000039:163647-165776
exon-NM_001178215.2-1		166742	168871	complete	tig00000039:163647-165776
cds-NP_009408.3		166742	168871	complete	tig00000039:163647-165776
gene-YAR015W		169375	170295	complete	tig00000039:166280-167200
rna-NM_001178216.1		169375	170295	complete	tig00000039:166280-167200
exon-NM_001178216.1-1		169375	170295	complete	tig00000039:166280-167200
cds-NP_009409.1		169375	170295	complete	tig00000039:166280-167200
gene-YAR018C		170396	171703	complete	tig00000039:167301-168608
rna-NM_001178217.1		170396	171703	complete	tig00000039:167301-168608
exon-NM_001178217.1-1		170396	171703	complete	tig00000039:167301-168608
cds-NP_009410.1		170396	171703	complete	tig00000039:167301-168608
gene-YAR019C		172211	175135	complete	tig00000039:169116-172040
rna-NM_001178218.2		172211	175135	complete	tig00000039:169116-172040
exon-NM_001178218.2-1		172211	175135	complete	tig00000039:169116-172040
cds-NP_009411.2		172211	175135	complete	tig00000039:169116-172040
id-NC_001133.9:176157..176404		176157	176404	complete	tig00000039:173062-173309
gene-YAR020C		176856	177023	complete	tig00000039:173761-173928
rna-NM_001178219.1		176856	177023	complete	tig00000039:173761-173928
exon-NM_001178219.1-1		176856	177023	complete	tig00000039:173761-173928
cds-NP_009412.1		176856	177023	complete	tig00000039:173761-173928
gene-YAR023C		179281	179820	complete	tig00000039:176186-176725
rna-NM_001178220.2		179281	179820	complete	tig00000039:176186-176725
exon-NM_001178220.2-1		179281	179820	complete	tig00000039:176186-176725
cds-NP_009413.2		179281	179820	complete	tig00000039:176186-176725
gene-YNCA0005W		181141	181254	complete	tig00000039:178046-178159
rna-YNCA0005W		181141	181254	complete	tig00000039:178046-178159
exon-YNCA0005W-1		181141	181178	complete	tig00000039:178046-178083
exon-YNCA0005W-2		181211	181254	complete	tig00000039:178116-178159
gene-YNCA0006C		182522	182603	complete	tig00000039:179427-179508
rna-YNCA0006C		182522	182603	complete	tig00000039:179427-179508
exon-YNCA0006C-1		182522	182603	complete	tig00000039:179427-179508
id-NC_001133.9:182620..182959		182620	182959	complete	tig00000039:179525-179864
id-NC_001133.9:183142..183474		183142	183474	complete	tig00000039:180047-180379
gene-YAR027W		183770	184477	complete	tig00000039:180675-181382
rna-NM_001178221.1		183770	184477	complete	tig00000039:180675-181382
exon-NM_001178221.1-1		183770	184477	complete	tig00000039:180675-181382
cds-NP_009414.1		183770	184477	complete	tig00000039:180675-181382
gene-YAR028W		184892	185596	complete	tig00000039:181797-182501
rna-NM_001178222.1		184892	185596	complete	tig00000039:181797-182501
exon-NM_001178222.1-1		184892	185596	complete	tig00000039:181797-182501
cds-NP_009415.1		184892	185596	complete	tig00000039:181797-182501
gene-YAR029W		186321	186545	complete	tig00000039:183226-183450
rna-NM_001178223.1		186321	186545	complete	tig00000039:183226-183450
exon-NM_001178223.1-1		186321	186545	complete	tig00000039:183226-183450
cds-NP_009416.1		186321	186545	complete	tig00000039:183226-183450
gene-YAR031W		186836	187732	complete	tig00000039:183741-184637
rna-NM_001178224.1		186836	187732	complete	tig00000039:183741-184637
exon-NM_001178224.1-1		186836	187732	complete	tig00000039:183741-184637
cds-NP_009418.1		186836	187732	complete	tig00000039:183741-184637
gene-YAR033W		188107	188811	complete	tig00000039:185012-185716
rna-NM_001178225.1		188107	188811	complete	tig00000039:185012-185716
exon-NM_001178225.1-1		188107	188811	complete	tig00000039:185012-185716
cds-NP_009419.1		188107	188811	complete	tig00000039:185012-185716
id-NC_001133.9:189426..189757		189426	189757	complete	tig00000039:186331-186662
gene-YAR035W		190193	192256	complete	tig00000039:187098-189161
rna-NM_001178226.1		190193	192256	complete	tig00000039:187098-189161
exon-NM_001178226.1-1		190193	192256	complete	tig00000039:187098-189161
cds-NP_009420.1		190193	192256	complete	tig00000039:187098-189161
gene-YAR035C-A		192337	192417	complete	tig00000039:189242-189322
rna-NM_001184583.1		192337	192417	complete	tig00000039:189242-189322
exon-NM_001184583.1-1		192337	192417	complete	tig00000039:189242-189322
cds-NP_878042.1		192337	192417	complete	tig00000039:189242-189322
gene-YAR042W		192619	196185	complete	tig00000039:189524-193090
rna-NM_001178227.1		192619	196185	complete	tig00000039:189524-193090
exon-NM_001178227.1-1		192619	196185	complete	tig00000039:189524-193090
cds-NP_009421.3		192619	196185	complete	tig00000039:189524-193090
gene-YAR050W		203403	208016	partial	tig00000039:29533-28098,tig00000039:208360-208524,tig00000039:208612-209556,tig00000039:209583-209913
rna-NM_001178230.1		203403	208016	partial	tig00000039:29533-28098,tig00000039:208360-208524,tig00000039:208612-209556,tig00000039:209583-209913
exon-NM_001178230.1-1		203403	208016	partial	tig00000039:29533-28098,tig00000039:208360-208524,tig00000039:208612-209556,tig00000039:209583-209913
cds-NP_009424.1		203403	208016	partial	tig00000039:29533-28098,tig00000039:208360-208524,tig00000039:208612-209556,tig00000039:209583-209913
id-NC_001133.9:209448..209778		209448	209778	complete	tig00000039:26666-26336
id-NC_001133.9:214888..215644		214888	215644	complete	tig00000039:21226-20470
gene-YAR061W		218140	219145	complete	tig00000039:17974-16969
rna-YAR061W		218140	219145	complete	tig00000039:17974-16969
exon-YAR061W-1		218140	219145	complete	tig00000039:17974-16969
gene-YAR064W		220198	220497	complete	tig00000039:15916-15617
rna-NM_001178235.1		220198	220497	complete	tig00000039:15916-15617
exon-NM_001178235.1-1		220198	220497	complete	tig00000039:15916-15617
cds-NP_009429.1		220198	220497	complete	tig00000039:15916-15617
gene-YAR066W		221049	221660	complete	tig00000039:15065-14454
rna-NM_001180045.1		221049	221660	complete	tig00000039:15065-14454
exon-NM_001180045.1-1		221049	221660	complete	tig00000039:15065-14454
cds-NP_009430.1		221049	221660	complete	tig00000039:15065-14454
gene-YAR068W		222406	222891	complete	tig00000039:13708-13223
rna-NM_001178236.1		222406	222891	complete	tig00000039:13708-13223
exon-NM_001178236.1-1		222406	222891	complete	tig00000039:13708-13223
cds-NP_009431.1		222406	222891	complete	tig00000039:13708-13223
id-NC_001133.9:222880..224046		222880	224046	partial	tig00000039:13234-12523,tig00000039:214241-214937
NC_001134.8:1..813184		1	813184	partial	tig00000014:1348-198498,tig00000083:871-6723,tig00000059:1-9459,tig00000060:1-12568,tig00000014:199386-223050,tig00000014:223634-256345,tig00000007:301744-295831,tig00000014:256346-418527,tig00000014:418528-632447,tig00000014:632448-633536,tig00000014:639804-807988,tig00000037:19409-16007
id-NC_001134.8:1..6608		1	6608	complete	tig00000014:1348-7955
id-NC_001134.8:40..202		40	202	complete	tig00000014:1387-1549
gene-YBL113C		280	2658	complete	tig00000014:1627-4005
rna-NM_001180054.1		280	2658	complete	tig00000014:1627-4005
exon-NM_001180054.1-1		280	2658	complete	tig00000014:1627-4005
cds-NP_009437.1		280	2658	complete	tig00000014:1627-4005
gene-YBL112C		2582	2899	complete	tig00000014:3929-4246
rna-NM_001180053.1		2582	2899	complete	tig00000014:3929-4246
exon-NM_001180053.1-1		2582	2899	complete	tig00000014:3929-4246
cds-NP_009438.1		2582	2899	complete	tig00000014:3929-4246
gene-YBL111C		2907	5009	complete	tig00000014:4254-6356
rna-NM_001180052.1		2907	5009	complete	tig00000014:4254-6356
exon-NM_001180052.1-1		4216	5009	complete	tig00000014:5563-6356
exon-NM_001180052.1-2		2907	4116	complete	tig00000014:4254-5463
cds-NP_009439.1		4216	5009	complete	tig00000014:5563-6356
cds-NP_009439.1		2907	4116	complete	tig00000014:4254-5463
id-NC_001134.8:6498..6620		6498	6620	complete	tig00000014:7845-7967
gene-YBL108C-A		7605	7733	complete	tig00000014:8952-9080
rna-NM_001184458.1		7605	7733	complete	tig00000014:8952-9080
exon-NM_001184458.1-1		7605	7733	complete	tig00000014:8952-9080
cds-NP_076873.1		7605	7733	complete	tig00000014:8952-9080
id-NC_001134.8:8848..9092		8848	9092	complete	tig00000014:10195-10439
id-NC_001134.8:9093..9424		9093	9424	complete	tig00000014:10440-10771
id-NC_001134.8:9425..9518		9425	9518	complete	tig00000014:10772-10865
gene-YNCB0001W		9583	9666	complete	tig00000014:10930-11013
rna-YNCB0001W		9583	9666	complete	tig00000014:10930-11013
exon-YNCB0001W-1		9583	9666	complete	tig00000014:10930-11013
gene-YBL107C		9961	10551	complete	tig00000014:11308-11898
rna-NM_001178347.1		9961	10551	complete	tig00000014:11308-11898
exon-NM_001178347.1-1		9961	10551	complete	tig00000014:11308-11898
cds-NP_009443.1		9961	10551	complete	tig00000014:11308-11898
